Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,290959019,3732.8566611890446,10316228,132.35197362328526,1276532,5446753,69.8790788056012,41525,0.5327446916360253,4632,
United States of America,Americas,54910550,16589.157,2892711,873.924,483805,819656,247.628,9524,2.877,592
India,South-East Asia,34960261,2533.344,160570,11.635,37379,482017,34.929,1727,0.125,124
Brazil,Americas,22293228,10487.998,53792,25.307,1721,619133,291.275,685,0.322,28
The United Kingdom,Europe,13422819,19772.587,1184392,1744.678,157758,148893,219.328,880,1.296,42
Russian Federation,Europe,10570212,7243.123,133060,91.178,15903,312187,213.923,6097,4.178,834
France,Europe,10053955,15458.263,1157997,1780.456,63867,121619,186.993,1295,1.991,269
Turkey,Europe,9596779,11378.806,264447,313.552,44869,82795,98.169,1062,1.259,160
Germany,Europe,7238408,8703.492,212039,254.957,30561,112579,135.365,1774,2.133,356
Spain,Europe,6667511,14086.505,630190,1331.408,34810,89573,189.242,231,0.488,8
Italy,Europe,6396110,10724.263,717998,1203.857,68034,137786,231.024,1033,1.732,140
Iran (Islamic Republic of),Eastern Mediterranean,6198590,7379.893,11861,14.121,1677,131702,156.801,268,0.319,22
Argentina,Americas,5694930,12600.581,234888,519.712,20502,117204,259.325,169,0.374,23
Colombia,Americas,5181173,10182.544,56483,111.006,11318,130026,255.54,265,0.521,40
Indonesia,South-East Asia,4263732,1558.817,1575,0.576,299,144105,52.685,34,0.012,3
Poland,Europe,4145518,10921.289,80803,212.874,11667,98034,258.269,3120,8.22,433
Mexico,Americas,3990587,3095.092,38654,29.98,1671,299544,232.326,725,0.562,19
Ukraine,Europe,3678088,8410.18,28852,65.972,1746,96436,220.507,1331,3.043,135
South Africa,Africa,3475512,5860.038,58194,98.121,3076,91312,153.961,483,0.814,84
Netherlands,Europe,3180329,18269.789,104163,598.377,14623,20971,120.47,245,1.407,14
Philippines,Western Pacific,2855819,2606.124,17129,15.631,4084,51586,47.076,375,0.342,16
Malaysia,Western Pacific,2767044,8549.231,23108,71.396,2690,31560,97.51,191,0.59,28
Czechia,Europe,2493145,23313.627,38320,358.334,9333,36326,339.688,354,3.31,25
Peru,Americas,2302678,6983.769,23379,70.906,1501,202782,615.015,258,0.782,41
Thailand,South-East Asia,2235576,3202.832,20864,29.891,3091,21750,31.16,120,0.172,12
Canada,Americas,2142310,5676.173,148161,392.561,0,30280,80.229,127,0.336,0
Belgium,Europe,2133284,18514.169,64618,560.801,16,28385,246.345,137,1.189,5
Iraq,Eastern Mediterranean,2094349,5206.91,1699,4.224,252,24174,60.101,35,0.087,7
Romania,Europe,1813056,9380.057,9745,50.417,1756,58814,304.281,239,1.236,18
Chile,Americas,1811297,9475.193,10264,53.693,995,39173,204.92,117,0.612,11
Viet Nam,Western Pacific,1778976,1827.617,112431,115.505,15936,33021,33.924,1603,1.647,190
Japan,Western Pacific,1735591,1372.264,3584,2.834,783,18396,14.545,9,0.007,1
Bangladesh,South-East Asia,1587140,963.717,3117,1.893,0,28081,17.051,19,0.012,0
Portugal,Europe,1434570,13933.398,148451,1441.845,10554,19000,184.539,110,1.068,10
Israel,Europe,1408019,16267.256,39361,454.749,10644,8247,95.28,4,0.046,2
Switzerland,Europe,1364714,15768.622,86393,998.23,24,11855,136.979,73,0.843,0
Sweden,Europe,1314784,12730.793,26292,254.58,0,15310,148.244,2,0.019,0
Serbia,Europe,1305621,18849.092,13903,200.716,2765,12787,184.604,166,2.397,27
Pakistan,Eastern Mediterranean,1297235,587.27,3520,1.594,708,28943,13.103,34,0.015,2
Greece,Europe,1294741,12079.425,210588,1964.703,36246,20990,195.828,494,4.609,80
Austria,Europe,1285300,14439.847,22918,257.475,3221,13339,149.858,106,1.191,13
Hungary,Europe,1264709,12945.449,18020,184.451,2429,39517,404.493,623,6.377,83
Kazakhstan,Europe,1073789,5718.729,3219,17.144,416,18256,97.227,57,0.304,12
Jordan,Eastern Mediterranean,1067253,10460.051,12361,121.149,1682,12742,124.883,224,2.195,32
Morocco,Eastern Mediterranean,967662,2621.64,11252,30.485,885,14862,40.265,30,0.081,7
Cuba,Americas,967498,8541.81,2641,23.317,556,8324,73.491,3,0.026,0
Georgia,Europe,942173,23618.242,14143,354.534,3590,14009,351.175,363,9.1,67
Slovakia,Europe,849516,15564.965,18423,337.549,3579,16788,307.592,302,5.533,48
Ireland,Europe,845897,17039.122,123436,2486.403,16986,5912,119.087,22,0.443,0
Denmark,Europe,840037,14426.776,94468,1622.391,8801,3292,56.537,62,1.065,13
Nepal,South-East Asia,829632,2847.367,1869,6.415,355,11601,39.816,13,0.045,3
United Arab Emirates,Eastern Mediterranean,769608,7781.362,16543,167.263,2515,2169,21.93,10,0.101,1
Bulgaria,Europe,751458,10810.04,15460,222.399,1918,31080,447.099,457,6.574,53
Lebanon,Eastern Mediterranean,735727,10779.18,22057,323.158,2994,9174,134.409,117,1.714,20
Tunisia,Eastern Mediterranean,728802,6166.558,5380,45.521,542,25588,216.506,50,0.423,2
Croatia,Europe,722054,17792.623,28241,695.906,1103,12653,311.791,278,6.85,44
Belarus,Europe,701699,7425.92,7473,79.085,507,5624,59.518,112,1.185,15
Republic of Korea,Western Pacific,645226,1258.506,29697,57.924,3024,5781,11.276,435,0.848,51
Guatemala,Americas,628695,3509.211,3529,19.698,106,16109,89.916,12,0.067,1
Azerbaijan,Europe,617952,6094.697,3016,29.746,273,8383,82.679,75,0.74,8
Bolivia (Plurinational State of),Americas,614941,5268.054,37133,318.11,3910,19733,169.048,179,1.533,11
Sri Lanka,South-East Asia,588300,2747.364,3714,17.344,0,15037,70.223,114,0.532,0
Costa Rica,Americas,570556,11200.29,538,10.561,0,7353,144.343,1,0.02,0
Saudi Arabia,Eastern Mediterranean,559852,1608.129,6533,18.766,1746,8881,25.51,9,0.026,2
Ecuador,Americas,552324,3130.546,9983,56.583,2906,33683,190.914,34,0.193,2
Myanmar,South-East Asia,531299,976.477,1299,2.387,144,19278,35.431,18,0.033,1
Lithuania,Europe,526443,18841.304,12613,451.417,2315,7462,267.064,134,4.796,23
Australia,Western Pacific,499958,1960.629,187936,737.007,37239,2266,8.886,69,0.271,7
Panama,Americas,498785,11559.952,11018,255.356,977,7433,172.269,17,0.394,3
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,471090,9234.499,1638,32.109,295,4947,96.973,35,0.686,3
Paraguay,Americas,468933,6574.56,3595,50.403,587,16637,233.255,36,0.505,6
Slovenia,Europe,467565,22308.97,10804,515.492,1008,6073,289.762,17,0.811,0
Venezuela (Bolivarian Republic of),Americas,444972,1564.823,1640,5.767,144,5333,18.754,19,0.067,2
Ethiopia,Africa,428796,372.984,30100,26.182,2140,6969,6.062,71,0.062,11
Dominican Republic,Americas,424809,3916.045,10105,93.152,2856,4251,39.187,13,0.12,2
Kuwait,Eastern Mediterranean,419314,9818.687,3965,92.845,982,2468,57.791,0,0,0
Uruguay,Americas,415249,11953.98,7868,226.5,955,6175,177.763,12,0.345,3
Norway,Europe,399318,7439.442,21783,405.825,998,1305,24.313,3,0.056,0
Mongolia,Western Pacific,390295,11905.445,2105,64.21,488,1989,60.672,8,0.244,2
Libya,Eastern Mediterranean,390284,5679.922,4005,58.286,634,5727,83.347,62,0.902,5
Egypt,Eastern Mediterranean,387882,379.034,5688,5.558,723,21817,21.319,178,0.174,20
Honduras,Americas,379542,3831.974,469,4.735,0,10434,105.345,5,0.05,0
Republic of Moldova,Europe,376844,9341.781,2081,51.587,242,10306,255.481,102,2.529,16
Armenia,Europe,345126,11646.937,477,16.097,90,7986,269.503,30,1.012,3
Oman,Eastern Mediterranean,306008,5992.371,834,16.332,176,4117,80.621,3,0.059,0
Puerto Rico,Americas,303099,10594.707,69835,2441.055,4711,3314,115.84,23,0.804,4
Kenya,Africa,299732,557.42,15582,28.978,1223,5394,10.031,30,0.056,10
Bosnia and Herzegovina,Europe,292785,8924.155,4657,141.946,472,13488,411.117,163,4.968,24
Bahrain,Eastern Mediterranean,284224,16703.583,4115,241.835,880,1395,81.983,1,0.059,0
Finland,Europe,282831,5118.843,34589,626.012,2720,1599,28.94,1,0.018,0
Singapore,Western Pacific,280754,4798.933,2710,46.322,464,829,14.17,4,0.068,0
Latvia,Europe,277692,14556.568,5926,310.64,671,4594,240.817,87,4.561,15
Zambia,Africa,261221,1420.918,26745,145.48,1544,3753,20.415,44,0.239,10
Qatar,Eastern Mediterranean,253536,8800.116,5101,177.053,1177,618,21.45,2,0.069,0
Estonia,Europe,244733,18415.156,6656,500.837,1497,1940,145.977,22,1.655,1
Nigeria,Africa,244120,118.425,5700,2.765,670,3045,1.477,21,0.01,6
North Macedonia,Europe,225972,10846.413,2641,126.765,242,7981,383.079,63,3.024,6
Algeria,Africa,219532,500.631,2602,5.934,373,6298,14.362,52,0.119,7
Botswana,Africa,219509,9334.346,7027,298.814,0,2444,103.928,5,0.213,0
Zimbabwe,Africa,216087,1453.866,10638,71.574,1209,5047,33.957,139,0.935,15
Albania,Europe,210885,7327.994,3176,110.362,179,3220,111.891,26,0.903,2
Uzbekistan,Europe,199271,595.386,784,2.342,89,1485,4.437,1,0.003,0
Mozambique,Africa,193371,618.68,21869,69.969,918,2031,6.498,63,0.202,12
Kyrgyzstan,Europe,184879,2833.746,327,5.012,52,2807,43.024,9,0.138,2
Cyprus,Europe,177721,20013.513,25036,2819.353,5024,641,72.184,11,1.239,2
Montenegro,Europe,174862,27841.519,10890,1733.905,1652,2416,384.675,22,3.503,2
Kosovo[1],Europe,161555,8996.94,255,14.201,38,2981,166.011,1,0.056,0
Afghanistan,Eastern Mediterranean,158171,406.313,204,0.524,15,7364,18.917,10,0.026,3
Namibia,Africa,149741,5893.215,4104,161.517,1767,3656,143.886,46,1.81,23
Uganda,Africa,146843,321.031,10778,23.563,813,3312,7.241,27,0.059,6
Ghana,Africa,146119,470.245,7162,23.049,1067,1306,4.203,26,0.084,3
China,Western Pacific,132737,9.022,1644,0.112,229,5699,0.387,0,0,0
El Salvador,Americas,122038,1881.501,297,4.579,93,3826,58.987,6,0.093,1
Cambodia,Western Pacific,120516,720.834,52,0.311,6,3014,18.027,5,0.03,1
Rwanda,Africa,114580,884.636,8591,66.328,998,1357,10.477,9,0.069,2
Lao People's Democratic Republic,Western Pacific,113432,1559.083,6654,91.457,665,391,5.374,63,0.866,11
Cameroon,Africa,108676,409.39,225,0.848,0,1851,6.973,0,0,0
Luxembourg,Europe,105358,16827.448,5641,900.963,43,917,146.46,7,1.118,2
Maldives,South-East Asia,96294,17814.276,1072,198.319,0,262,48.47,0,0,0
Jamaica,Americas,95177,3214.172,2388,80.644,0,2476,83.616,12,0.405,0
Trinidad and Tobago,Americas,92997,6645.073,3168,226.369,338,2936,209.791,168,12.004,22
Angola,Africa,82920,252.295,11168,33.98,0,1772,5.392,23,0.07,0
Democratic Republic of the Congo,Africa,79274,88.514,6925,7.732,1581,1225,1.368,20,0.022,0
Réunion,Africa,76602,8555.9,4807,536.908,0,409,45.682,8,0.894,0
Malawi,Africa,76295,398.825,4744,24.799,229,2378,12.431,41,0.214,7
Senegal,Africa,75959,453.651,1490,8.899,288,1890,11.288,0,0,0
Côte d’Ivoire,Africa,72352,274.286,7407,28.08,0,720,2.73,13,0.049,0
Mauritius,Africa,68310,5371.263,1381,108.589,0,786,61.804,24,1.887,0
Eswatini,Africa,66441,5726.863,1880,162.046,155,1315,113.346,31,2.672,5
Guadeloupe,Americas,56515,14124.371,720,179.944,0,831,207.686,0,0,0
Malta,Europe,55059,10700.127,7980,1550.827,812,479,93.089,3,0.583,0
Fiji,Western Pacific,55009,6136.35,1986,221.542,175,702,78.309,5,0.558,2
Suriname,Americas,52895,9016.726,1302,221.945,283,1190,202.853,3,0.511,0
Madagascar,Africa,52434,189.354,5139,18.558,0,1067,3.853,71,0.256,0
Syrian Arab Republic,Eastern Mediterranean,50364,287.783,237,1.354,27,2908,16.617,29,0.166,3
